"","Date","HomeTeam","AwayTeam","FTHG","FTAG","B365H","B365D","B365A","BWH","BWD","BWA","GBH","GBD","GBA","IWH","IWD","IWA","LBH","LBD","LBA","WHH","WHD","WHA"
"195","03/01/12","Man City","Liverpool",3,0,1.91,3.4,4.2,1.91,3.5,4.2,1.9,3.3,4,1.8,3.4,4,1.85,3.3,4.5,1.8,3.5,4.5
"192","02/01/12","Fulham","Arsenal",2,1,4,3.5,1.91,4.1,3.4,1.95,3.75,3.5,1.9,3.4,3.2,2,4.33,3.5,1.83,3.6,3.3,1.85
"183","31/12/11","Chelsea","Aston Villa",1,3,1.29,5,13,1.28,5,11.5,1.28,5,10,1.27,5,9,1.28,5,11,1.3,5,11
"171","26/12/11","Chelsea","Fulham",1,1,1.3,5,12,1.28,5.25,10,1.3,4.75,10,1.32,4.8,8.3,1.29,4.6,9,1.3,5,11
"173","26/12/11","Man United","Wigan",5,0,1.14,7.5,21,1.14,7.5,17,1.17,6.5,15,1.15,6.2,14,1.17,6,12,1.17,6.5,19
"169","22/12/11","Tottenham","Chelsea",1,1,2.6,3.4,2.7,2.6,3.4,2.7,2.5,3.2,2.75,2.55,3.2,2.55,2.5,3.5,2.62,2.5,3.4,2.7
"162","21/12/11","Aston Villa","Arsenal",1,2,5,3.6,1.73,4.75,3.8,1.72,4.5,3.6,1.73,4.3,3.4,1.75,5,3.5,1.73,4.75,3.6,1.73
"164","21/12/11","Fulham","Man United",0,5,5,3.6,1.73,5,3.75,1.7,5,3.5,1.7,4.6,3.4,1.67,5.5,3.5,1.67,5,3.75,1.67
"168","21/12/11","Wigan","Liverpool",0,0,7,4,1.5,6.5,4.1,1.53,7,3.75,1.5,5.4,3.6,1.57,7,3.75,1.5,7,4,1.5
"1561","18/12/11","Aston Villa","Liverpool",0,2,4.2,3.4,1.91,4.1,3.4,1.95,3.75,3.4,1.95,3.4,3.2,2,4,3.3,1.95,4,3.4,1.91
"1571","18/12/11","Man City","Arsenal",1,0,1.73,3.75,4.5,1.7,3.6,5.5,1.67,3.6,5,1.65,3.5,4.6,1.67,3.75,5,1.7,3.8,4.8
"154","17/12/11","Wigan","Chelsea",1,1,9,4.75,1.36,8.25,4.75,1.35,9,4.5,1.35,7,4.1,1.4,8,4.5,1.4,7.5,4.75,1.4
